,Date,Open,High,Low,Close,Adj Close,Volume
0,1991-01-04,7.67,7.67,7.67,7.67,5.67,0
1,1991-01-08,7.67,7.67,7.67,7.67,5.67,0
2,1991-01-10,7.67,7.67,7.67,7.67,5.67,0
3,1991-01-15,7.87,7.87,7.87,7.87,5.81,0
4,1991-01-16,7.87,7.87,7.87,7.87,5.81,0
5,1991-01-17,7.87,7.87,7.87,7.87,5.81,0
6,1991-01-18,7.87,7.87,7.87,7.87,5.81,0
7,1991-01-21,7.87,7.87,7.87,7.87,5.81,0
8,1991-01-22,7.87,7.87,7.87,7.87,5.81,0
9,1991-01-28,7.67,7.67,7.67,7.67,5.67,0
10,1991-01-29,7.67,7.67,7.67,7.67,5.67,0
11,1991-01-30,7.67,7.67,7.67,7.67,5.67,0
12,1991-02-12,8.0,8.0,8.0,8.0,5.91,0
13,1991-02-18,8.33,8.33,8.33,8.33,6.16,0
14,1991-02-25,9.0,9.0,9.0,9.0,6.65,0
15,1991-03-01,9.0,9.0,9.0,9.0,6.65,0
16,1991-03-06,9.2,9.2,9.2,9.2,6.8,0
17,1991-03-14,9.27,9.27,9.27,9.27,6.85,0
18,1991-03-19,9.33,9.33,9.33,9.33,6.9,0
19,1991-03-28,9.53,9.53,9.53,9.53,7.05,0
20,1991-03-29,9.53,9.53,9.53,9.53,7.05,0
21,1991-04-10,9.67,9.67,9.67,9.67,7.14,0
22,1991-04-17,9.2,9.2,9.2,9.2,6.8,0
23,1991-05-01,9.33,9.33,9.33,9.33,6.9,0
24,1991-05-02,9.33,9.33,9.33,9.33,6.9,0
25,1991-05-15,9.53,9.53,9.53,9.53,7.05,0
26,1991-05-22,9.67,9.67,9.67,9.67,7.14,0
27,1991-05-24,9.6,9.6,9.6,9.6,7.1,0
28,1991-05-28,9.6,9.6,9.6,9.6,7.1,0
29,1991-05-29,9.6,9.6,9.6,9.6,7.1,0
30,1991-06-10,9.0,9.0,9.0,9.0,6.65,0
31,1991-06-14,9.2,9.2,9.2,9.2,6.8,0
32,1991-06-21,9.33,9.33,9.33,9.33,6.9,0
33,1991-07-01,9.33,9.33,9.33,9.33,6.9,0
34,1991-07-18,10.27,10.27,10.27,10.27,7.59,0
35,1991-07-23,11.0,11.0,11.0,11.0,8.13,0
36,1991-08-06,11.87,11.87,11.87,11.87,8.77,0
37,1991-08-15,12.0,12.0,12.0,12.0,8.87,0
38,1991-08-29,13.2,13.2,13.2,13.2,9.76,0
39,1991-09-02,13.0,13.0,13.0,13.0,9.61,0
40,1991-09-09,12.53,12.53,12.53,12.53,9.26,0
41,1991-09-11,12.33,12.33,12.33,12.33,9.12,0
42,1991-09-12,12.33,12.33,12.33,12.33,9.12,0
43,1991-09-19,12.87,12.87,12.87,12.87,9.51,0
44,1991-09-23,12.53,12.53,12.53,12.53,9.26,0
45,1991-10-02,13.2,13.2,13.2,13.2,9.76,0
46,1991-10-08,12.33,12.33,12.33,12.33,9.12,0
47,1991-10-17,12.53,12.53,12.53,12.53,9.26,0
48,1991-10-25,12.87,12.87,12.87,12.87,9.51,0
49,1991-10-28,12.87,12.87,12.87,12.87,9.51,0
50,1991-11-04,12.87,12.87,12.87,12.87,9.51,0
51,1991-11-06,12.67,12.67,12.67,12.67,9.36,0
52,1991-11-07,12.67,12.67,12.67,12.67,9.36,0
53,1991-11-21,16.53,16.53,16.53,16.53,12.22,0
54,1991-11-25,16.27,16.27,16.27,16.27,12.02,0
55,1991-12-13,15.93,15.93,15.93,15.93,11.78,0
56,1991-12-25,16.2,16.2,16.2,16.2,11.97,0
57,1991-12-26,16.2,16.2,16.2,16.2,11.97,0
58,1991-12-27,16.2,16.2,16.2,16.2,11.97,0
59,1991-12-30,16.2,16.2,16.2,16.2,11.97,0
60,1991-12-31,16.2,16.2,16.2,16.2,11.97,0
61,1992-01-10,16.0,16.0,16.0,16.0,11.83,0
62,1992-01-17,17.0,17.0,17.0,17.0,12.57,0
63,1992-01-28,18.33,18.33,18.33,18.33,13.55,0
64,1992-02-10,18.0,18.0,18.0,18.0,13.3,0
65,1992-02-11,18.0,18.0,18.0,18.0,13.3,0
66,1992-02-14,17.67,17.67,17.67,17.67,13.06,0
67,1992-02-17,17.67,17.67,17.67,17.67,13.06,0
68,1992-02-20,17.67,17.67,17.67,17.67,13.06,0
69,1992-02-25,18.67,18.67,18.67,18.67,13.8,0
70,1992-03-04,22.67,22.67,22.67,22.67,16.75,0
71,1992-03-05,22.67,22.67,22.67,22.67,16.75,0
72,1992-03-06,22.67,22.67,22.67,22.67,16.75,0
73,1992-03-09,22.67,22.67,22.67,22.67,16.75,0
74,1992-03-19,28.87,28.87,28.87,28.87,21.34,0
75,1992-03-23,32.0,32.0,32.0,32.0,23.65,0
76,1992-03-26,34.0,34.0,34.0,34.0,25.13,0
77,1992-04-01,35.0,35.0,35.0,35.0,25.87,0
78,1992-04-09,35.0,35.0,35.0,35.0,25.87,0
79,1992-04-14,35.0,35.0,35.0,35.0,25.87,0
80,1992-04-15,35.0,35.0,35.0,35.0,25.87,0
81,1992-04-16,35.0,35.0,35.0,35.0,25.87,0
82,1992-04-17,35.0,35.0,35.0,35.0,25.87,0
83,1992-04-20,35.0,35.0,35.0,35.0,25.87,0
84,1992-04-21,35.0,35.0,35.0,35.0,25.87,0
85,1992-04-23,36.67,36.67,36.67,36.67,27.1,0
86,1992-04-24,36.67,36.67,36.67,36.67,27.1,0
87,1992-04-27,36.67,36.67,36.67,36.67,27.1,0
88,1992-05-01,31.67,31.67,31.67,31.67,23.41,0
89,1992-05-04,31.67,31.67,31.67,31.67,23.41,0
90,1992-05-05,31.67,31.67,31.67,31.67,23.41,0
91,1992-05-08,28.33,28.33,28.33,28.33,20.94,0
92,1992-05-15,26.67,26.67,26.67,26.67,19.71,0
93,1992-05-21,26.0,26.0,26.0,26.0,19.22,0
94,1992-06-11,20.87,20.87,20.87,20.87,15.42,0
