,Date,Open,High,Low,Close,Adj Close,Volume
0,1991-01-04,1.18,1.18,1.18,1.18,0.71,0.0
1,1991-01-08,1.22,1.22,1.22,1.22,0.74,0.0
2,1991-01-10,1.22,1.22,1.22,1.22,0.74,0.0
3,1991-01-15,1.21,1.21,1.21,1.21,0.73,0.0
4,1991-01-16,1.21,1.21,1.21,1.21,0.73,0.0
5,1991-01-17,1.21,1.21,1.21,1.21,0.73,0.0
6,1991-01-18,1.21,1.21,1.21,1.21,0.73,0.0
7,1991-01-21,1.21,1.21,1.21,1.21,0.73,0.0
8,1991-01-22,1.21,1.21,1.21,1.21,0.73,0.0
9,1991-01-28,1.17,1.17,1.17,1.17,0.7,0.0
10,1991-01-29,1.17,1.17,1.17,1.17,0.7,0.0
11,1991-01-30,1.17,1.17,1.17,1.17,0.7,0.0
12,1991-02-12,1.18,1.18,1.18,1.18,0.71,0.0
13,1991-02-18,1.17,1.17,1.17,1.17,0.7,0.0
14,1991-02-25,1.44,1.44,1.44,1.44,0.87,0.0
15,1991-03-01,1.44,1.44,1.44,1.44,0.87,0.0
16,1991-03-06,1.53,1.53,1.53,1.53,0.92,0.0
17,1991-03-14,1.44,1.44,1.44,1.44,0.87,0.0
18,1991-03-19,1.47,1.47,1.47,1.47,0.89,0.0
19,1991-03-28,1.51,1.51,1.51,1.51,0.91,0.0
20,1991-03-29,1.51,1.51,1.51,1.51,0.91,0.0
21,1991-04-10,1.68,1.68,1.68,1.68,1.01,0.0
22,1991-04-17,1.78,1.78,1.78,1.78,1.07,0.0
23,1991-05-01,1.76,1.76,1.76,1.76,1.06,0.0
24,1991-05-02,1.76,1.76,1.76,1.76,1.06,0.0
25,1991-05-15,1.84,1.84,1.84,1.84,1.11,0.0
26,1991-05-22,1.79,1.79,1.79,1.79,1.08,0.0
27,1991-05-24,1.83,1.83,1.83,1.83,1.11,0.0
28,1991-05-28,1.88,1.88,1.88,1.88,1.13,0.0
29,1991-05-29,1.88,1.88,1.88,1.88,1.13,0.0
