,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-07-10,24.82,24.86,24.44,24.53,16.77,2988972750
1,1995-07-11,24.53,24.53,24.53,24.53,16.77,0
2,1995-07-12,24.72,25.01,24.68,25.01,17.09,3814050240
3,1995-07-13,25.05,25.15,24.91,24.96,17.06,3284069714
4,1995-07-14,25.01,25.24,24.91,25.05,17.12,2625803256
5,1995-07-17,25.1,25.43,25.1,25.34,17.32,3056889267
6,1995-07-18,25.43,25.53,25.15,25.24,17.25,3160423475
7,1995-07-19,25.1,25.67,24.96,25.62,17.51,3487200234
8,1995-07-20,25.76,26.19,25.57,25.9,17.7,4905987515
9,1995-07-21,25.81,26.42,25.76,26.38,18.03,5979204982
10,1995-07-24,26.38,26.38,26.38,26.38,18.03,0
11,1995-07-25,26.71,28.03,26.61,27.94,19.09,8135278134
12,1995-07-26,27.8,28.36,27.56,27.56,18.83,9702460470
13,1995-07-27,27.61,27.84,27.37,27.7,18.93,7843368876
14,1995-07-28,26.47,26.66,25.9,26.09,17.83,12995256381
15,1995-07-31,25.53,25.9,25.05,25.24,17.25,7058415496
16,1995-08-01,24.39,25.53,24.39,25.38,17.35,5672905433
17,1995-08-02,25.57,26.33,25.57,26.24,17.93,6990293517
18,1995-08-03,26.42,26.42,24.96,25.15,17.19,10961693212
19,1995-08-04,24.77,25.43,24.58,25.38,17.35,9204289574
20,1995-08-07,25.53,25.81,25.05,25.05,17.12,7670543908
21,1995-08-08,24.96,25.15,24.39,24.53,16.77,7911752641
22,1995-08-09,25.05,25.24,24.91,25.05,17.12,4920554975
23,1995-08-10,25.05,25.05,25.05,25.05,17.12,0
24,1995-08-11,24.96,25.05,24.82,24.91,17.03,2178415123
25,1995-08-14,24.86,24.91,24.63,24.82,16.96,1634626845
26,1995-08-15,24.82,24.82,24.82,24.82,16.96,0
27,1995-08-16,24.82,25.2,24.82,25.1,17.15,2385467936
28,1995-08-17,25.15,25.43,25.1,25.29,17.28,2985947669
29,1995-08-18,25.29,25.29,25.29,25.29,17.28,0
30,1995-08-21,25.38,25.48,25.24,25.29,17.28,2836846056
31,1995-08-22,25.24,25.72,25.15,25.67,17.54,2937806829
32,1995-08-23,25.67,25.67,25.67,25.67,17.54,0
33,1995-08-24,25.53,25.72,25.2,25.29,17.28,3213114101
